Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0.054,0.0005,0.207162,0.031308,0.0313082,0.0313081,-0.0274063,0,0,0.0607593,0.594187,-2.52566e-07,0,0.594187,0.00382452,6.98951e-13,0,5.66205e-10,0,0,0.00382452,0.638269,-1.71645e-07,0,0.638269,5.87997e-10,0.054,-5.16396e-08,5.25446e-08,-9.04913e-10,-0.0310387,0,0,0.0310387,0.139429,0.0469621,0.0016123,0.00142362,-5.12933,-4.5996,540,1,0
0.2,0.0541,0.0005,0.207188,0.0313442,0.0313444,0.0313443,-0.027297,0,0,0.0607661,0.596127,-2.53257e-07,0,0.596127,0.00382542,7.02006e-13,0,5.56017e-10,0,0,0.00382542,0.640215,-1.73507e-07,0,0.640215,2.35586e-10,0.0541,-4.98971e-08,5.08092e-08,-9.12075e-10,-0.0309138,0,0,0.0309138,0.13971,0.0470164,0.00161272,0.00142404,-5.13031,-4.5996,541,1,0
0.2,0.0542,0.0005,0.207215,0.0313761,0.0313762,0.0313761,-0.0271875,0,0,0.0607663,0.598044,-2.53944e-07,0,0.598044,0.00382626,7.05069e-13,0,5.46619e-10,0,0,0.00382626,0.642137,-1.75173e-07,0,0.642137,6.13739e-13,0.0542,-4.818e-08,4.90765e-08,-8.96446e-10,-0.0307889,0,0,0.0307889,0.13996,0.0470641,0.00161306,0.00142438,-5.13129,-4.5996,542,1,0
0.2,0.0543,0.0005,0.207241,0.0313991,0.0313992,0.0313991,-0.0270775,0,0,0.0607528,0.599917,-2.54622e-07,0,0.599917,0.00382699,7.08149e-13,0,5.38801e-10,0,0,0.00382699,0.644015,-1.76446e-07,0,0.644015,5.46728e-13,0.0543,-4.65142e-08,4.73495e-08,-8.35235e-10,-0.0306639,0,0,0.0306639,0.140147,0.0470987,0.00161324,0.00142456,-5.13228,-4.5996,543,1,0
0.2,0.0544,0.0005,0.207267,0.0314221,0.0314222,0.0314221,-0.0269675,0,0,0.0607396,0.60179,-2.553e-07,0,0.60179,0.00382771,7.11229e-13,0,5.30983e-10,0,0,0.00382771,0.645893,-1.77719e-07,0,0.645893,4.79715e-13,0.0544,-4.48483e-08,4.56224e-08,-7.74022e-10,-0.0305388,0,0,0.0305388,0.140335,0.0471332,0.00161342,0.00142474,-5.13326,-4.5996,544,1,0
0.2,0.0545,0.0005,0.207293,0.0314452,0.0314453,0.0314452,-0.0268575,0,0,0.0607266,0.603663,-2.55978e-07,0,0.603663,0.00382844,7.14309e-13,0,5.23165e-10,0,0,0.00382844,0.64777,-1.78993e-07,0,0.64777,4.12702e-13,0.0545,-4.31825e-08,4.38953e-08,-7.1281e-10,-0.0304138,0,0,0.0304138,0.140523,0.0471678,0.0016136,0.00142492,-5.13424,-4.5996,545,1,0
0.2,0.0546,0.0005,0.20732,0.0314682,0.0314683,0.0314682,-0.0267475,0,0,0.0607139,0.605536,-2.56656e-07,0,0.605536,0.00382917,7.17389e-13,0,5.15347e-10,0,0,0.00382917,0.649648,-1.80266e-07,0,0.649648,3.45691e-13,0.0546,-4.15167e-08,4.21683e-08,-6.51599e-10,-0.0302888,0,0,0.0302888,0.140711,0.0472023,0.00161379,0.00142511,-5.13522,-4.5996,546,1,0
0.2,0.0547,0.0005,0.207346,0.0314912,0.0314913,0.0314912,-0.0266375,0,0,0.0607013,0.607409,-2.57335e-07,0,0.607409,0.0038299,7.20469e-13,0,5.07529e-10,0,0,0.0038299,0.651526,-1.81539e-07,0,0.651526,2.78678e-13,0.0547,-3.98509e-08,4.04413e-08,-5.90386e-10,-0.0301638,0,0,0.0301638,0.140899,0.0472369,0.00161397,0.00142529,-5.1362,-4.5996,547,1,0
0.2,0.0548,0.0005,0.207372,0.0315143,0.0315143,0.0315143,-0.0265275,0,0,0.060689,0.609282,-2.58013e-07,0,0.609282,0.00383062,7.23548e-13,0,4.99711e-10,0,0,0.00383062,0.653403,-1.82812e-07,0,0.653403,2.11667e-13,0.0548,-3.81851e-08,3.87142e-08,-5.29176e-10,-0.0300387,0,0,0.0300387,0.141087,0.0472714,0.00161415,0.00142547,-5.13718,-4.5996,548,1,0
0.2,0.0549,0.0005,0.207399,0.0315373,0.0315374,0.0315373,-0.0264174,0,0,0.0606769,0.611155,-2.58691e-07,0,0.611155,0.00383135,7.26628e-13,0,4.91893e-10,0,0,0.00383135,0.655281,-1.84086e-07,0,0.655281,1.44654e-13,0.0549,-3.65192e-08,3.69872e-08,-4.67963e-10,-0.0299137,0,0,0.0299137,0.141274,0.047306,0.00161433,0.00142565,-5.13816,-4.5996,549,1,0
0.2,0.055,0.0005,0.207425,0.0315604,0.0315604,0.0315604,-0.0263075,0,0,0.0606651,0.613028,-2.59369e-07,0,0.613028,0.00383208,7.29708e-13,0,4.84075e-10,0,0,0.00383208,0.657158,-1.85359e-07,0,0.657158,7.7643e-14,0.055,-3.48534e-08,3.52602e-08,-4.06752e-10,-0.0297887,0,0,0.0297887,0.141462,0.0473405,0.00161452,0.00142584,-5.13914,-4.5996,550,1,0
0.2,0.0551,0.0005,0.207452,0.0315715,0.0315716,0.0315715,-0.0261969,0,0,0.0606347,0.614837,-2.59893e-07,0,0.614837,0.00383263,7.32336e-13,0,4.70797e-10,0,0,0.00383263,0.658971,-1.86295e-07,0,0.658971,6.86184e-14,0.0551,-3.3541e-08,3.39833e-08,-4.42355e-10,-0.0296636,0,0,0.0296636,0.141567,0.0473573,0.00161447,0.00142579,-5.14012,-4.5996,551,1,0
0.2,0.0552,0.0005,0.207478,0.0315827,0.0315828,0.0315827,-0.0260864,0,0,0.0606045,0.616646,-2.60417e-07,0,0.616646,0.00383317,7.34963e-13,0,4.57519e-10,0,0,0.00383317,0.660784,-1.87231e-07,0,0.660784,5.95942e-14,0.0552,-3.22286e-08,3.27065e-08,-4.77956e-10,-0.0295386,0,0,0.0295386,0.141672,0.0473741,0.00161443,0.00142575,-5.1411,-4.5996,552,1,0
